Designator,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna","Texas_SWRA416_868MHz_915MHz",159.240000,-127.230000,-90.000000,top
"C1","33pF","C_0805_2012Metric",55.530000,-123.960000,-90.000000,top
"C2","22uF","C_0805_2012Metric",56.240000,-112.580000,90.000000,top
"C3","100nF","C_0805_2012Metric",53.190000,-124.890000,-90.000000,top
"C4","100nF","C_0805_2012Metric",53.070000,-112.790000,90.000000,top
"C5","TAN 10uF","CP_EIA-3216-18_Kemet-A",50.710000,-124.720000,90.000000,top
"C6","100nF","C_0805_2012Metric",95.450000,-145.140000,0.000000,top
"C7","22uF","C_0805_2012Metric",95.370000,-147.740000,0.000000,top
"C8","470uF","CP_Elec_6.3x7.7",86.820000,-144.420000,180.000000,top
"C9","33pF","C_0805_2012Metric",95.180000,-150.230000,0.000000,top
"C10","22uF","C_0805_2012Metric",45.480000,-126.220000,180.000000,top
"C11","33pF","C_0805_2012Metric",55.720000,-118.810000,90.000000,top
"C12","100nF","C_0805_2012Metric",53.370000,-118.800000,90.000000,top
"C13","33pF","C_0805_2012Metric",44.880000,-141.660000,0.000000,top
"C14","100nF","C_0805_2012Metric",44.830000,-144.130000,0.000000,top
"C15","22uF","C_0805_2012Metric",44.830000,-146.590000,0.000000,top
"C16","470uF","CP_Elec_6.3x7.7",45.350000,-110.890000,180.000000,top
"C17","33pF","C_0805_2012Metric",56.110000,-107.730000,-90.000000,top
"C18","100nF","C_0805_2012Metric",59.690000,-107.730000,-90.000000,top
"C19","22uF","C_0805_2012Metric",52.520000,-107.820000,-90.000000,top
"C20","100nF","C_0805_2012Metric",152.300000,-110.340000,-90.000000,top
"C21","33pF","C_0805_2012Metric",149.350000,-110.410000,-90.000000,top
"C22","33pF","C_0805_2012Metric",125.140000,-136.630000,180.000000,top
"C23","33pF","C_0805_2012Metric",133.810000,-137.520000,180.000000,top
"C24","TAN 100uF","CP_EIA-3216-18_Kemet-A",146.340000,-110.177500,90.000000,top
"C25","33pF","C_0805_2012Metric",130.240000,-132.960000,90.000000,top
"C26","TAN 100uF","CP_EIA-3216-18_Kemet-A",124.370000,-124.510000,-90.000000,top
"C27","470uF","CP_Elec_6.3x7.7",128.140000,-109.480000,180.000000,top
"C28","22uF","C_0805_2012Metric",127.080000,-124.155000,90.000000,top
"C29","TAN 100uF","CP_EIA-3216-18_Kemet-A",111.120000,-107.220000,0.000000,top
"C30","470uF","CP_Elec_6.3x7.7",118.230000,-110.790000,90.000000,top
"C31","33pF","C_0805_2012Metric",111.030000,-109.480000,180.000000,top
"C32","470uF","CP_Elec_6.3x7.7",106.125000,-143.210000,180.000000,top
"C33","22uF","C_0805_2012Metric",109.160000,-158.850000,90.000000,top
"C34","22uF","C_0805_2012Metric",108.375000,-149.020000,0.000000,top
