"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3";"R_0603_1608Metric";2;"5K1";;;
2;"C25,C1,C9,C17,C11,C43,C31,C21,C13,C35,C23,C22";"C_0805_2012Metric";12;"33pF";;;
3;"Card1";"SIM-SMD_SMC-202-6";1;"SMC-202-6";;;
4;"R4";"R_0603_1608Metric";1;"2K2";;;
5;"C3,C18,C12,C4,C38,C42,C20,C14,C36,C6";"C_0805_2012Metric";10;"100nF";;;
6;"Q2";"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR";1;"SI2333";;;
7;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
8;"C19,C41,C28,C2,C34,C33,C39,C37,C7,C10,C15";"C_0805_2012Metric";11;"22uF";;;
9;"L3,L4";"IND-SMD_L6.0-W6.0";2;"CKCS6045-6.8UH/M";;;
10;"R1";"R_0603_1608Metric";1;"10k";;;
11;"R11,R10,R9";"R_0603_1608Metric";3;"22R";;;
12;"R8,R25,R17,R21,R24,R18,R7";"R_0603_1608Metric";7;"10K";;;
13;"C27,C8,C16,C32,C44,C30";"CP_Elec_6.3x7.7";6;"470uF";;;
14;"R19,R6";"R_0603_1608Metric";2;"51K";;;
15;"Q3";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-2";1;"AP3404";;;
16;"AE1";"Texas_SWRA416_868MHz_915MHz";1;"Antenna";;;
17;"U3";"XCVR_M65";1;"M65";;;
18;"C45,C5";"CP_EIA-3216-18_Kemet-A";2;"TAN 10uF";;;
19;"R22,R12,R26,R23";"R_0603_1608Metric";4;"1K";;;
20;"R5";"R_0603_1608Metric";1;"100R";;;
21;"R13";"R_0603_1608Metric";1;"68K";;;
22;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
23;"R20";"R_0603_1608Metric";1;"1K1";;;
24;"LED2";"LED-SMD_L1.6-W1.2-RD";1;"TZ-P2-0602RTS2-1.2T";;;
25;"L1,L2";"IND-SMD_L7.0-W6.6";2;"MWSA0603S-4R7MT";;;
26;"U4";"SOP-8_L4.9-W3.9-P1.27-LS6.0-BL";1;"ME2199ASG";;;
27;"USB1";"USB-SMD_U262-061N-4BVC11";1;"U262-061N-4BVC11";;;
28;"Q1";"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR";1;"MMBT3904_C181119";;;
29;"D2";"SMC_L7.1-W6.2-LS8.1-RD";1;"B540C-13-F";;;
30;"C40";"C_0805_2012Metric";1;"1uF";;;
31;"U5";"QFN-16_L3.0-W3.0-P0.50-TL-EP1.7";1;"BQ24073RGTR";;;
32;"C24,C29,C26";"CP_EIA-3216-18_Kemet-A";3;"TAN 100uF";;;
33;"R14";"R_0603_1608Metric";1;"27K";;;
34;"R27,R16";"R_0603_1608Metric";2;"100K";;;
35;"LED1";"LED-SMD_L1.7-W1.1-R-RD_GREEN";1;"XL-1606UGC";;;
36;"FPC1";"touch_display_3.5inch";1;"FPC-05F-20PH20";;;
37;"D1";"DO-214AC_L4.3-W2.7-LS5.0-RD";1;"SS34";;;
38;"U2";"WIFI-SMD_ESP32-WROOM-32E";1;"ESP32-WROOM-32E-N8R2";;;
