Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA416_868MHz_915MHz,1,Antenna,
"C1, C11, C13, C17, C21, C22, C23, C25, C31, C35, C43, C9",0805,12,33pF,C696910
"C10, C15, C19, C28, C33, C34, C37, C39, C41, C7",0805,10,22uF,C5674
"C12, C14, C18, C20, C3, C36, C38, C42, C6",0805,9,100nF,C392963
"C16, C27, C30, C32, C44, C8",CP_Elec_6.3x7.7,6,470uF,C5189822 
C2,0805,1,22uF,
"C24, C26, C29",CP_EIA-3216-18_Kemet-A,3,TAN 100uF,C27279
C4,0805,1,100nF,
C40,0805,1,1uF,C28323
"C45, C5",CP_EIA-3216-18_Kemet-A,2,TAN 10uF,C27279
CARD1,SIM-SMD_SMC-202-6,1,SMC-202-6,C266634
D1,DO-214AC_L4.3-W2.7-LS5.0-RD,1,SS34,C2836396
D2,SMC_L7.1-W6.2-LS8.1-RD,1,B540C-13-F,C72264
FPC1,touch_display_3.5inch,1,FPC-05F-20PH20,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"L1, L2",IND-SMD_L7.0-W6.6,2,MWSA0603S-4R7MT,C2937097
"L3, L4",IND-SMD_L6.0-W6.0,2,CKCS6045-6.8UH/M,C57254
LED1,LED-SMD_L1.7-W1.1-R-RD_GREEN,1,XL-1606UGC,C965863
LED2,LED-SMD_L1.6-W1.2-RD,1,TZ-P2-0602RTS2-1.2T,C688879
Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,MMBT3904_C181119,C181119
Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,SI2333,C4748717
Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-2,1,AP3404,C2842665
R1,0603,1,10k,
"R10, R11, R9",0603,3,22R,C3016215
R12,0603,1,1K,C2907179
R13,0603,1,68K,C2907196
R14,0603,1,27K,C22967
"R16, R27",0603,2,100K,C25803
"R17, R18, R21, R24, R25, R7, R8",0603,7,10K,C3017715
"R19, R6",0603,2,51K,C2907180
"R2, R3",0603,2,5K1,C2907114
R20,0603,1,1K1,C2906975
R22,0603,1,1K,C103309
"R23, R26",0603,2,1K,C3017736
R4,0603,1,2K2,C2907117
R5,0603,1,100R,C125923 
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,WIFI-SMD_ESP32-WROOM-32E,1,ESP32-WROOM-32E-N8R2,C5361945
U3,XCVR_M65,1,M65,Y100443
U4,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,ME2199ASG,C2875120
U5,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,BQ24073RGTR,C15220
USB1,USB-SMD_U262-061N-4BVC11,1,U262-061N-4BVC11,C2764612
