Designator,Mid X,Mid Y,Rotation,Layer
AE1,159.24,-127.23,270.0,top
C1,55.53,-123.96,270.0,top
C10,45.48,-126.22,180.0,top
C11,55.72,-118.81,90.0,top
C12,53.37,-118.8,90.0,top
C13,44.88,-141.66,0.0,top
C14,44.83,-144.13,0.0,top
C15,44.83,-146.59,0.0,top
C16,45.35,-110.89,0.0,top
C17,56.11,-107.73,270.0,top
C18,59.69,-107.73,270.0,top
C19,52.52,-107.82,270.0,top
C2,56.24,-112.58,90.0,top
C20,152.3,-110.34,270.0,top
C21,149.35,-110.41,270.0,top
C22,125.14,-136.63,180.0,top
C23,133.81,-137.52,180.0,top
C24,146.34,-110.1775,270.0,top
C25,130.24,-132.96,90.0,top
C26,124.37,-124.51,90.0,top
C27,128.14,-109.48,0.0,top
C28,127.08,-124.155,90.0,top
C29,111.12,-107.22,180.0,top
C3,53.19,-124.89,270.0,top
C30,118.23,-110.79,270.0,top
C31,111.03,-109.48,180.0,top
C32,106.125,-143.21,0.0,top
C33,109.16,-158.85,90.0,top
C34,108.375,-149.02,0.0,top
C35,120.48,-152.81,0.0,top
C36,120.48,-155.82,180.0,top
C37,120.42,-149.86,180.0,top
C38,110.88,-111.83,180.0,top
C39,110.99,-115.73,180.0,top
C4,53.07,-112.79,90.0,top
C40,98.05,-109.27,270.0,top
C41,117.38,-129.1,180.0,top
C42,117.38,-126.09,180.0,top
C43,117.38,-123.08,180.0,top
C44,99.57,-131.92,90.0,top
C45,50.83,-119.0325,90.0,top
C5,50.71,-124.72,270.0,top
C6,95.45,-145.14,0.0,top
C7,95.37,-147.74,0.0,top
C8,86.82,-144.42,0.0,top
C9,95.18,-150.23,0.0,top
CARD1,137.9,-153.447231,0.0,top
D1,112.43,-118.6,180.0,top
D2,105.09,-115.64,270.0,top
FPC1,65.15,-141.2675,0.0,top
J1,93.65,-112.76,180.0,top
L1,138.79,-108.53,180.0,top
L2,109.11,-127.47,270.0,top
L3,115.135,-142.51,180.0,top
L4,44.44,-120.72,180.0,top
LED1,150.245,-139.63,0.0,top
LED2,111.48,-148.47,90.0,top
Q1,49.63,-142.21,270.0,top
Q2,125.18,-119.145,0.0,top
Q3,99.95,-124.21,0.0,top
R1,58.65,-112.9,270.0,top
R10,132.48,-134.95,90.0,top
R11,132.31,-131.58,90.0,top
R12,150.045,-137.7,0.0,top
R13,103.1,-108.3,180.0,top
R14,100.29,-108.505,270.0,top
R16,112.62,-154.21,0.0,top
R17,112.65,-156.05,0.0,top
R18,111.36,-159.01,270.0,top
R19,104.18,-152.7,180.0,top
R2,90.64,-149.91,270.0,top
R20,104.49,-148.7,0.0,top
R21,112.775,-152.52,0.0,top
R22,114.59,-148.13,0.0,top
R23,104.11,-156.54,0.0,top
R24,107.05,-158.52,90.0,top
R25,104.065,-154.28,180.0,top
R26,123.09,-116.485,180.0,top
R27,122.05,-119.125,90.0,top
R3,85.99,-150.1,270.0,top
R4,54.64,-139.64,180.0,top
R5,54.12,-143.1,180.0,top
R6,44.85,-148.7,180.0,top
R7,71.02,-150.78,180.0,top
R8,70.685,-143.98,180.0,top
R9,126.52,-133.325,90.0,top
U1,47.96,-131.7125,0.0,top
U2,74.49,-115.5175,270.0,top
U3,144.33,-124.77,0.0,top
U4,98.83,-116.47,90.0,top
U5,108.615,-152.89,180.0,top
USB1,92.005,-156.8075,0.0,top
